NodeName,NodeDestination,WeightMinutes
CBD,RoyalPerthHospital,5
CBD,Curtin,14
CBD,Airport,25
CBD,Fremantle,25
CBD,SuburbNorth_Joondalup,30
CBD,SuburbSouth_Cockburn,22
CBD,ShoppingMall_Carousel,20
CBD,Kingspark,8
RoyalPerthHospital,Curtin,18
RoyalPerthHospital,Airport,22
RoyalPerthHospital,ShoppingMall_Carousel,18
RoyalPerthHospital,Kingspark,7
Curtin,Airport,15
Curtin,ShoppingMall_Carousel,10
Curtin,SuburbSouth_Cockburn,18
Curtin,Fremantle,20
Airport,SuburbNorth_Joondalup,28
Airport,IndustrialPark_Kewdale,10
Airport,ShoppingMall_Belmont,12
IndustrialPark_Kewdale,ShoppingMall_Belmont,8
IndustrialPark_Kewdale,SuburbSouth_Cockburn,25
IndustrialPark_Kewdale,Curtin,20
ShoppingMall_Carousel,SuburbSouth_Cockburn,12
ShoppingMall_Carousel,Fremantle,28
ShoppingMall_Belmont,SuburbNorth_Joondalup,35
SuburbNorth_Joondalup,Fremantle,40
SuburbNorth_Joondalup,JoondalupHospital,5
JoondalupHospital,Fremantle,42
SuburbSouth_Cockburn,Fremantle,15
Kingspark,Fremantle,22
Kingspark,SuburbNorth_Joondalup,35
ParkAndRide_Midland,Airport,18
ParkAndRide_Midland,IndustrialPark_Kewdale,20
